Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,37.24,998,58.16,5.0,0.0,2134.54
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.6,1582,126.2,5.0,0.0,15246.75
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.0,1199,88.7,5.0,10501.96,5488.83
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.7,1248,88.76,7.0,0.0,7318.44
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.0,1968,140.8,5.0,0.0,21638.19
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,29.54,814,55.2,5.0,0.0,2866.39
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.0,1461,63.1,5.0,0.0,4269.09
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.3,2755,171.5,8.0,25614.54,21345.45
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.5,1598,103.6,5.0,0.0,6342.65
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.0,1248,74,5.0,0.0,2378.49
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.5,1462,103.25,5.0,12990.23,12136.41
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.0,1497,116.3,5.0,0.0,5476.63
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.0,1248,74,5.0,0.0,6830.54
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.0,2179,187.7,5.0,0.0,32932.98
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179,115,5.0,0.0,21345.45
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.0,2477,175.56,7.0,39043.88,18296.1
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.0,1498,98.6,5.0,0.0,6586.6
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.0,1248,74,5.0,0.0,7306.24
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.4,1461,83.8,5.0,0.0,7733.15
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.8,2143,167.62,5.0,0.0,34152.72
BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.6,1995,190,5.0,58388.95,22626.18
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.6,1248,88.5,5.0,0.0,10062.86
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.5,1984,177.01,5.0,0.0,28663.89
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.0,1197,80,5.0,0.0,2280.91
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.0,1598,103.6,5.0,0.0,3476.26
Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.0,1497,116.3,5.0,0.0,5183.9
Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.0,1461,63.1,5.0,0.0,5183.9
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.9,998,67.1,5.0,0.0,3354.28
Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.0,1199,88.7,5.0,12892.65,12075.43
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.0,2494,102,7.0,0.0,4878.96
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.0,1461,108.45,5.0,0.0,9452.98
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.5,1798,138.1,5.0,0.0,8233.25
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.1,2696,184,7.0,0.0,15246.75
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.0,2698,179.5,5.0,0.0,14027.01
